iter	RMSE
247	1805.101256
248	1804.75382
249	1804.661968
250	1803.078172
251	1801.96615
252	1799.975994
253	1798.65568
254	1798.23892
255	1796.767383
256	1795.55467
257	1794.70936
258	1792.152034
259	1792.066777
260	1789.603388
261	1787.038949
262	1786.587219
263	1785.640693
264	1783.764448
265	1782.453983
266	1780.703499
267	1780.224412
268	1778.164353
269	1777.414227
270	1776.538773
271	1775.525193
272	1775.299665
273	1773.484729
274	1773.399266
275	1772.312466
276	1770.583905
277	1770.501515
278	1768.087601
279	1767.80994
280	1767.267342
281	1765.970451
282	1765.743637
283	1764.33955
284	1763.599255
285	1763.519776
286	1761.827621
287	1759.819777
288	1758.616836
289	1758.378829
290	1757.643439
291	1755.425055
292	1754.597783
293	1753.596574
294	1752.707577
295	1751.911208
296	1751.147663
297	1750.100033
298	1749.419486
299	1748.084376
300	1746.880785
301	1745.389574
302	1743.676696
303	1742.124368
304	1741.737638
305	1739.656636
306	1738.694855
307	1737.282756
308	1737.209577
309	1735.232179
310	1734.790039
311	1733.549208
312	1732.005008
313	1729.911911
314	1729.425976
315	1728.462675
316	1727.683095
317	1726.237426
318	1724.748651
319	1723.173781
320	1721.995529
321	1720.789861
322	1719.5154
323	1718.221982
324	1718.139889
325	1717.020164
326	1715.742268
327	1714.858065
328	1714.809237
329	1713.018584
330	1712.074108
331	1710.383142
332	1710.305722
333	1709.017564
334	1707.589212
335	1706.599429
336	1706.00558
337	1705.935145
338	1705.90482
339	1704.316898
340	1703.490428
341	1702.522688
342	1701.435556
343	1700.511873
344	1699.386791
345	1698.144554
346	1697.199239
347	1695.91324
348	1695.315993
349	1693.360523
350	1692.052743
351	1691.163459
352	1690.186778
353	1688.789961
354	1687.449053
355	1686.53329
356	1685.663566
357	1685.598529
358	1685.429778
359	1685.047411
360	1684.286002
361	1684.185678
362	1683.392808
363	1683.333883
364	1681.481603
365	1680.015903
366	1679.035095
367	1678.57544
368	1677.580144
369	1676.140297
370	1675.395628
371	1675.343394
372	1674.255439
373	1674.208731
374	1673.236364
375	1672.031019
376	1670.977303
377	1670.905867
378	1669.562522
379	1669.139106
380	1667.803055
381	1667.266448
382	1666.356072
383	1665.588728
384	1663.350351
385	1662.615925
386	1662.242481
387	1661.065368
388	1660.033335
389	1659.240115
390	1658.26659
391	1657.872489
392	1657.778142
393	1657.712629
394	1657.040242
395	1656.998033
396	1656.366362
397	1655.230775
398	1653.976658
399	1652.544161
400	1651.400054
401	1650.227759
402	1649.487936
403	1648.25372
404	1647.606261
405	1647.520179
406	1646.522436
407	1646.143255
408	1644.707701
409	1643.548435
410	1643.084727
411	1641.935129
412	1641.250367
413	1640.752686
414	1640.023459
415	1639.955564
416	1639.899278
417	1638.997425
418	1638.093186
419	1637.122757
420	1637.088285
421	1636.494135
422	1635.311627
423	1634.801648
424	1633.500925
425	1632.469093
426	1631.650755
427	1630.869309
428	1629.507558
429	1628.779062
430	1628.165261
431	1627.098481
432	1626.462555
433	1626.397031
434	1625.943599
435	1625.521152
436	1624.668097
437	1623.68359
438	1622.811507
439	1621.838472
440	1620.801984
441	1619.925021
442	1618.99826
443	1618.502614
444	1617.922899
445	1617.88487
446	1617.212656
447	1616.769424
448	1616.737167
449	1616.226086
450	1615.152713
451	1614.514338
452	1613.689696
453	1612.74245
454	1612.630955
455	1612.57644
456	1611.183042
457	1609.444112
458	1608.754251
459	1608.701578
460	1607.898834
461	1607.308835
462	1607.225366
463	1607.220648
464	1606.136788
465	1604.768085
466	1603.601649
467	1602.939587
468	1602.625294
469	1601.74895
470	1601.139905
471	1600.139641
472	1599.637028
473	1599.073048
474	1597.920696
475	1596.523279
476	1595.997629
477	1595.901657
478	1595.227828
479	1593.953372
480	1593.912076
481	1593.832993
482	1593.33186
483	1592.627264
484	1592.379129
485	1591.773667
486	1591.003914
487	1590.953817
488	1590.728933
489	1590.356841
490	1589.924515
491	1589.496809
492	1588.971932
493	1588.26285
494	1587.169614
495	1586.235615
496	1585.216219
497	1584.634928
498	1583.92962
499	1582.959437
500	1582.326048
501	1581.826299
502	1581.134462
503	1580.14709
504	1580.037387
505	1579.417821
506	1578.559243
507	1577.569929
508	1576.681194
509	1576.245843
510	1574.768044
511	1574.19408
512	1573.51481
513	1572.439035
514	1571.641304
515	1571.108058
516	1570.745506
517	1569.559608
518	1568.663405
519	1567.755461
520	1566.807826
521	1565.633942
522	1564.302647
523	1563.606505
524	1563.530419
525	1562.812121
526	1561.873854
527	1560.989372
528	1560.421413
529	1559.423134
530	1558.546701
531	1557.936332
532	1557.07236
533	1556.702824
534	1556.027252
535	1555.201882
536	1554.828068
537	1554.201722
538	1553.667912
539	1552.559867
540	1552.044623
541	1551.210948
542	1551.143396
543	1550.266132
544	1550.01838
545	1549.199518
546	1548.692299
547	1547.969175
548	1547.566308
549	1547.485585
550	1547.108226
551	1546.022121
552	1545.357623
553	1544.835593
554	1544.040913
555	1543.405956
556	1543.030455
557	1542.03568
558	1541.323097
559	1540.885898
560	1540.204928
561	1539.54251
562	1538.959468
563	1538.41492
564	1537.849066
565	1537.275227
566	1536.756198
567	1536.194871
568	1535.728099
569	1534.840466
570	1533.864997
571	1533.228688
572	1532.798093
573	1532.346253
574	1531.949063
575	1531.539501
576	1531.136834
577	1530.4744
578	1530.156162
579	1529.623209
580	1528.878323
581	1528.338543
582	1527.89168
583	1527.47597
584	1526.923541
585	1526.654681
586	1526.219859
587	1525.564372
588	1524.871885
589	1524.338799
590	1523.926265
591	1523.30962
592	1522.791861
593	1522.301948
594	1521.379953
595	1520.789442
596	1520.357834
597	1519.945939
598	1518.776861
599	1518.709364
600	1518.034604
601	1517.685148
602	1517.084626
603	1516.445802
604	1515.874766
605	1515.375757
606	1514.898104
607	1514.398889
608	1513.560606
609	1513.040427
610	1512.594102
611	1511.662414
612	1511.092283
613	1510.464729
614	1510.381066
615	1509.398059
616	1509.095677
617	1508.318307
618	1507.817073
619	1507.355345
620	1506.863029
621	1506.445892
622	1505.816747
623	1505.121082
624	1504.201481
625	1503.626335
626	1502.88566
627	1502.502681
628	1502.14616
629	1501.248648
630	1500.953295
631	1500.434366
632	1499.811714
633	1499.523098
634	1499.273441
635	1498.745457
636	1498.520745
637	1498.271267
638	1497.93049
639	1497.591948
640	1497.075486
641	1496.228736
642	1495.873826
643	1495.397424
644	1494.829133
645	1494.379714
646	1493.354095
647	1493.092629
648	1492.350279
649	1491.960966
650	1491.318809
651	1490.999735
652	1490.458828
653	1490.424058
654	1490.061625
655	1490.058704
656	1489.593344
657	1488.900806
658	1488.42906
659	1488.426128
660	1487.758803
661	1487.12495
662	1486.894371
663	1486.515128
664	1485.734574
665	1485.376924
666	1484.752046
667	1484.46572
668	1484.380545
669	1483.93935
670	1483.653773
671	1483.534631
672	1483.306252
673	1482.63377
674	1482.460555
675	1481.799427
676	1481.796721
677	1481.526245
678	1480.884896
679	1480.497741
680	1480.197286
681	1479.220772
682	1478.608464
683	1477.905937
684	1477.470217
685	1476.898279
686	1476.247916
687	1475.90174
688	1475.526295
689	1475.184122
690	1474.896052
691	1474.485269
692	1473.822559
693	1473.233972
694	1472.368222
695	1472.286768
696	1471.862241
697	1471.728755
698	1471.462952
699	1471.427266
700	1470.778383
701	1470.606067
702	1470.31888
703	1470.089431
704	1469.643014
705	1469.269367
706	1468.488752
707	1468.054522
708	1467.638503
709	1467.556901
710	1466.943927
711	1466.755143
712	1466.568627
713	1466.302468
714	1466.138457
715	1465.922071
716	1465.593044
717	1465.056429
718	1465.054205
719	1464.632155
720	1464.292905
721	1464.116024
722	1463.927399
723	1463.245028
724	1463.056496
725	1462.292761
726	1461.768021
727	1461.703864
728	1461.47711
729	1461.361901
730	1461.127786
731	1460.909446
732	1460.70554
733	1459.780107
734	1459.359466
735	1458.441829
736	1457.822891
737	1456.998189
738	1456.576658
739	1456.138681
740	1455.544172
741	1454.584303
742	1454.093945
743	1453.830438
744	1453.279077
745	1452.955889
746	1452.586681
747	1451.977712
748	1451.652124
749	1450.970431
750	1450.680544
751	1450.11201
752	1449.96284
753	1449.48181
754	1449.123831
755	1448.806597
756	1448.577279
757	1447.843918
758	1447.507837
759	1446.995294
760	1446.282908
761	1445.71984
762	1444.985005
763	1444.234734
764	1443.798552
765	1443.181278
766	1443.017731
767	1442.365953
768	1441.992076
769	1441.672523
770	1441.158119
771	1440.696324
772	1440.308792
773	1439.95056
774	1439.195685
775	1438.71136
776	1438.256234
777	1437.774602
778	1437.082591
779	1436.801765
780	1436.341942
781	1436.241971
782	1435.776612
783	1435.415403
784	1435.31353
785	1434.897766
786	1434.549249
787	1433.724768
788	1433.638881
789	1433.208293
790	1432.703356
791	1432.175013
792	1431.837212
793	1431.662788
794	1431.413391
795	1431.106695
796	1430.933982
797	1430.920852
798	1430.786961
799	1430.536282
800	1430.368017
801	1430.36615
802	1430.063859
803	1429.946781
804	1429.320904
805	1428.782645
806	1428.69243
807	1428.097985
808	1427.745955
809	1427.251812
810	1426.7368
811	1426.343802
812	1425.956861
813	1425.137004
814	1424.801886
815	1424.483532
816	1424.031012
817	1423.415415
818	1423.104103
819	1422.743952
820	1422.709438
821	1421.788226
822	1421.519312
823	1420.817616
824	1420.538544
825	1420.535987
826	1420.190556
827	1419.753913
828	1419.250314
829	1419.141855
830	1418.671966
831	1418.594897
832	1417.739435
833	1417.73786
834	1417.262009
835	1416.768856
836	1416.4374
837	1415.978356
838	1415.540332
839	1415.220172
840	1414.25381
841	1413.820221
842	1413.496742
843	1413.172916
844	1412.798856
845	1412.560226
846	1412.096624
847	1411.90721
848	1411.466422
849	1411.04071
850	1410.478035
851	1409.966249
852	1409.77416
853	1409.277117
854	1409.037767
855	1408.592195
856	1407.941334
857	1407.549984
858	1407.383538
859	1407.368162
860	1407.111043
861	1406.645784
862	1406.105552
863	1406.101481
864	1405.948535
865	1405.766745
866	1405.608861
867	1405.001329
868	1404.999723
869	1404.655031
870	1404.030917
871	1403.766455
872	1403.48445
873	1403.246641
874	1402.735118
875	1401.935491
876	1401.786384
877	1401.382821
878	1400.811264
879	1400.251049
880	1399.901552
881	1399.551647
882	1399.518862
883	1399.124624
884	1399.123206
885	1398.722829
886	1398.504453
887	1398.225289
888	1397.853591
889	1397.19879
890	1396.752025
891	1396.602208
892	1396.34176
893	1396.009808
894	1395.748574
895	1395.304295
896	1394.836154
897	1394.776838
898	1394.702949
899	1394.420951
900	1393.902452
901	1393.724193
902	1393.257273
903	1392.806494
904	1392.530295
905	1392.241944
906	1391.756134
907	1391.560381
908	1391.230636
909	1390.849428
910	1390.505095
911	1390.493299
912	1390.479108
913	1389.973027
914	1389.691388
915	1389.486335
916	1389.264046
917	1389.039503
918	1388.662521
919	1387.921607
920	1387.499043
921	1387.095577
922	1386.652083
923	1386.182704
924	1386.024882
925	1385.471484
926	1385.061333
927	1384.883219
928	1384.533024
929	1384.49186
930	1384.286783
931	1384.108331
932	1383.265455
933	1383.012221
934	1382.836474
935	1382.57909
936	1382.17308
937	1381.751929
938	1381.614301
939	1381.228746
940	1380.606494
941	1380.332058
942	1380.32082
943	1379.864509
944	1379.824947
945	1379.753161
946	1379.470594
947	1379.398404
948	1378.569317
949	1378.288032
950	1377.785599
951	1377.580225
952	1377.308066
953	1376.956301
954	1376.888093
955	1376.498032
956	1376.342722
957	1376.090063
958	1375.536273
959	1375.224178
960	1374.929531
961	1374.391996
962	1373.990595
963	1373.772799
964	1373.520231
965	1373.243662
966	1373.075879
967	1372.321798
968	1371.624614
969	1371.352768
970	1371.140242
971	1370.680603
972	1370.101719
973	1369.51619
974	1368.997936
975	1368.419513
976	1367.881197
977	1367.485562
978	1367.335306
979	1366.814081
980	1366.442829
981	1366.155131
982	1365.689504
983	1365.38382
984	1365.084101
985	1364.811257
986	1364.579757
987	1364.574807
988	1364.275513
989	1363.65702
990	1363.23273
991	1362.964267
992	1362.69791
993	1361.689059
994	1361.059656
995	1360.843741
996	1360.516169
997	1359.80126
998	1359.484492
999	1358.987305
